# data/reports/report-Feb-12-2015-13h13.txt
Generating reports for data/histories/generated/small/**/*.log
------------------------------------------------------------------------------
            data/histories/generated/small/**/*.log (timeout 10s)             
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.00.log   | Enumerate+C   | 20    | 1.0 ± 0.0   | 0.3677s    | -
ScalObject-bkq.00.log   | Counting(4)   | 20    | 1.0 ± 0.0   | 0.5933s    | -
ScalObject-bkq.00.log   | Counting(4)+R | 20    | 1.0 ± 0.0   | 0.1652s    | -
ScalObject-bkq.00.log   | Counting(2)   | 20    | 1.0 ± 0.0   | 0.8944s    | -
ScalObject-bkq.00.log   | Counting(2)+R | 20    | 1.0 ± 0.0   | 0.1735s    | -
ScalObject-bkq.00.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 1.033s     | -
ScalObject-bkq.00.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.2059s    | -
ScalObject-bkq.00.log   | Symbolic      | 20    | 1.0 ± 0.0   | 0.1883s    | -
ScalObject-bkq.00.log   | Symbolic+R    | 20    | 1.0 ± 0.0   | 0.0393s    | -
ScalObject-bkq.00.log   | Saturate      | 20    | 1.0 ± 0.0   | 0.0046s    | -
ScalObject-bkq.00.log   | Saturate+R    | 20    | 1.0 ± 0.0   | 0.0044s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.01.log   | Enumerate+C   | 18*   | 2.7 ± 1.1   | 10.0035s*  | -
ScalObject-bkq.01.log   | Counting(4)   | 20    | 2.5 ± 1.1   | 1.0243s    | -
ScalObject-bkq.01.log   | Counting(4)+R | 20    | 2.5 ± 1.1   | 0.6615s    | -
ScalObject-bkq.01.log   | Counting(2)   | 20    | 2.5 ± 1.1   | 1.229s     | -
ScalObject-bkq.01.log   | Counting(2)+R | 20    | 2.5 ± 1.1   | 0.7508s    | -
ScalObject-bkq.01.log   | Counting(0)   | 20    | 2.5 ± 1.1   | 1.4133s    | -
ScalObject-bkq.01.log   | Counting(0)+R | 20    | 2.5 ± 1.1   | 1.0135s    | -
ScalObject-bkq.01.log   | Symbolic      | 20    | 2.5 ± 1.1   | 0.6325s    | -
ScalObject-bkq.01.log   | Symbolic+R    | 20    | 2.5 ± 1.1   | 0.4279s    | -
ScalObject-bkq.01.log   | Saturate      | 20    | 2.5 ± 1.1   | 0.005s     | -
ScalObject-bkq.01.log   | Saturate+R    | 20    | 2.5 ± 1.1   | 0.0051s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.02.log   | Enumerate+C   | 20    | 1.6 ± 0.7   | 0.7939s    | -
ScalObject-bkq.02.log   | Counting(4)   | 20    | 1.6 ± 0.7   | 0.7816s    | -
ScalObject-bkq.02.log   | Counting(4)+R | 20    | 1.6 ± 0.7   | 0.3105s    | -
ScalObject-bkq.02.log   | Counting(2)   | 20    | 1.6 ± 0.7   | 1.0368s    | -
ScalObject-bkq.02.log   | Counting(2)+R | 20    | 1.6 ± 0.7   | 0.3288s    | -
ScalObject-bkq.02.log   | Counting(0)   | 20    | 1.6 ± 0.7   | 1.4124s    | -
ScalObject-bkq.02.log   | Counting(0)+R | 20    | 1.6 ± 0.7   | 0.3926s    | -
ScalObject-bkq.02.log   | Symbolic      | 20    | 1.6 ± 0.7   | 0.4579s    | -
ScalObject-bkq.02.log   | Symbolic+R    | 20    | 1.6 ± 0.7   | 0.1436s    | -
ScalObject-bkq.02.log   | Saturate      | 20    | 1.6 ± 0.7   | 0.0047s    | -
ScalObject-bkq.02.log   | Saturate+R    | 20    | 1.6 ± 0.7   | 0.005s     | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.03.log   | Enumerate+C   | 20    | 1.3 ± 0.5   | 0.4479s    | -
ScalObject-bkq.03.log   | Counting(4)   | 20    | 1.3 ± 0.5   | 0.6829s    | -
ScalObject-bkq.03.log   | Counting(4)+R | 20    | 1.3 ± 0.5   | 0.2105s    | -
ScalObject-bkq.03.log   | Counting(2)   | 20    | 1.3 ± 0.5   | 0.7842s    | -
ScalObject-bkq.03.log   | Counting(2)+R | 20    | 1.3 ± 0.5   | 0.2075s    | -
ScalObject-bkq.03.log   | Counting(0)   | 20    | 1.3 ± 0.5   | 1.2341s    | -
ScalObject-bkq.03.log   | Counting(0)+R | 20    | 1.3 ± 0.5   | 0.2171s    | -
