# data/reports/report-Feb-12-2015-13h13.txt
Generating reports for data/histories/generated/small/**/*.log
------------------------------------------------------------------------------
            data/histories/generated/small/**/*.log (timeout 10s)             
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.03.log   | Symbolic      | 20    | 1.3 ± 0.5   | 0.3821s    | -
ScalObject-bkq.03.log   | Symbolic+R    | 20    | 1.3 ± 0.5   | 0.0615s    | -
ScalObject-bkq.03.log   | Saturate      | 20    | 1.3 ± 0.5   | 0.0037s    | -
ScalObject-bkq.03.log   | Saturate+R    | 20    | 1.3 ± 0.5   | 0.004s     | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.04.log   | Enumerate+C   | 20    | 1.3 ± 0.5   | 0.331s     | -
ScalObject-bkq.04.log   | Counting(4)   | 20    | 1.3 ± 0.5   | 0.6381s    | -
ScalObject-bkq.04.log   | Counting(4)+R | 20    | 1.3 ± 0.5   | 0.2129s    | -
ScalObject-bkq.04.log   | Counting(2)   | 20    | 1.3 ± 0.5   | 0.7527s    | -
ScalObject-bkq.04.log   | Counting(2)+R | 20    | 1.3 ± 0.5   | 0.2293s    | -
ScalObject-bkq.04.log   | Counting(0)   | 20    | 1.3 ± 0.5   | 1.1737s    | -
ScalObject-bkq.04.log   | Counting(0)+R | 20    | 1.3 ± 0.5   | 0.2555s    | -
ScalObject-bkq.04.log   | Symbolic      | 20    | 1.3 ± 0.5   | 0.2658s    | -
ScalObject-bkq.04.log   | Symbolic+R    | 20    | 1.3 ± 0.5   | 0.0698s    | -
ScalObject-bkq.04.log   | Saturate      | 20    | 1.3 ± 0.5   | 0.0057s    | -
ScalObject-bkq.04.log   | Saturate+R    | 20    | 1.3 ± 0.5   | 0.005s     | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.05.log   | Enumerate+C   | 15    | 1.4 ± 0.5   | 0.3354s    | √
ScalObject-bkq.05.log   | Counting(4)   | 15    | 1.4 ± 0.5   | 0.1907s    | √
ScalObject-bkq.05.log   | Counting(4)+R | 15    | 1.4 ± 0.5   | 0.1289s    | √
ScalObject-bkq.05.log   | Counting(2)   | 20    | 1.5 ± 0.5   | 0.788s     | -
ScalObject-bkq.05.log   | Counting(2)+R | 20    | 1.5 ± 0.5   | 0.3963s    | -
ScalObject-bkq.05.log   | Counting(0)   | 20    | 1.5 ± 0.5   | 1.332s     | -
ScalObject-bkq.05.log   | Counting(0)+R | 20    | 1.5 ± 0.5   | 0.4458s    | -
ScalObject-bkq.05.log   | Symbolic      | 15    | 1.4 ± 0.5   | 0.0839s    | √
ScalObject-bkq.05.log   | Symbolic+R    | 15    | 1.4 ± 0.5   | 0.04s      | √
ScalObject-bkq.05.log   | Saturate      | 15    | 1.4 ± 0.5   | 0.0042s    | √
ScalObject-bkq.05.log   | Saturate+R    | 15    | 1.4 ± 0.5   | 0.005s     | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.06.log   | Enumerate+C   | 18    | 1.0 ± 0.0   | 0.2618s    | √
ScalObject-bkq.06.log   | Counting(4)   | 18    | 1.0 ± 0.0   | 0.3406s    | √
ScalObject-bkq.06.log   | Counting(4)+R | 18    | 1.0 ± 0.0   | 0.1361s    | √
ScalObject-bkq.06.log   | Counting(2)   | 18    | 1.0 ± 0.0   | 0.4676s    | √
ScalObject-bkq.06.log   | Counting(2)+R | 18    | 1.0 ± 0.0   | 0.1367s    | √
ScalObject-bkq.06.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 1.0061s    | -
ScalObject-bkq.06.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.1704s    | -
ScalObject-bkq.06.log   | Symbolic      | 18    | 1.0 ± 0.0   | 0.1198s    | √
ScalObject-bkq.06.log   | Symbolic+R    | 18    | 1.0 ± 0.0   | 0.0245s    | √
ScalObject-bkq.06.log   | Saturate      | 18    | 1.0 ± 0.0   | 0.0038s    | √
ScalObject-bkq.06.log   | Saturate+R    | 18    | 1.0 ± 0.0   | 0.0045s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.07.log   | Enumerate+C   | 18    | 1.8 ± 1.0   | 8.3551s    | √
ScalObject-bkq.07.log   | Counting(4)   | 18    | 1.8 ± 1.0   | 0.3484s    | √
ScalObject-bkq.07.log   | Counting(4)+R | 18    | 1.8 ± 1.0   | 0.2335s    | √
ScalObject-bkq.07.log   | Counting(2)   | 20    | 1.8 ± 1.0   | 1.0758s    | -
ScalObject-bkq.07.log   | Counting(2)+R | 20    | 1.8 ± 1.0   | 0.73s      | -
ScalObject-bkq.07.log   | Counting(0)   | 20    | 1.8 ± 1.0   | 1.2916s    | -
ScalObject-bkq.07.log   | Counting(0)+R | 20    | 1.8 ± 1.0   | 0.8388s    | -
ScalObject-bkq.07.log   | Symbolic      | 18    | 1.8 ± 1.0   | 0.2135s    | √
ScalObject-bkq.07.log   | Symbolic+R    | 18    | 1.8 ± 1.0   | 0.1165s    | √
ScalObject-bkq.07.log   | Saturate      | 19    | 1.8 ± 1.0   | 0.0062s    | √
ScalObject-bkq.07.log   | Saturate+R    | 19    | 1.8 ± 1.0   | 0.0053s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.08.log   | Enumerate+C   | 20    | 1.1 ± 0.3   | 0.3238s    | √
ScalObject-bkq.08.log   | Counting(4)   | 20    | 1.1 ± 0.3   | 0.4637s    | √
ScalObject-bkq.08.log   | Counting(4)+R | 20    | 1.1 ± 0.3   | 0.1645s    | √
ScalObject-bkq.08.log   | Counting(2)   | 20    | 1.1 ± 0.3   | 0.6484s    | √
ScalObject-bkq.08.log   | Counting(2)+R | 20    | 1.1 ± 0.3   | 0.1567s    | √
ScalObject-bkq.08.log   | Counting(0)   | 20    | 1.1 ± 0.3   | 1.1571s    | -
ScalObject-bkq.08.log   | Counting(0)+R | 20    | 1.1 ± 0.3   | 0.1895s    | -
ScalObject-bkq.08.log   | Symbolic      | 20    | 1.1 ± 0.3   | 0.1654s    | √
ScalObject-bkq.08.log   | Symbolic+R    | 20    | 1.1 ± 0.3   | 0.0317s    | √
ScalObject-bkq.08.log   | Saturate      | 20    | 1.1 ± 0.3   | 0.0042s    | √
ScalObject-bkq.08.log   | Saturate+R    | 20    | 1.1 ± 0.3   | 0.0043s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.09.log   | Enumerate+C   | 20    | 1.0 ± 0.0   | 0.2843s    | √
ScalObject-bkq.09.log   | Counting(4)   | 20    | 1.0 ± 0.0   | 0.5283s    | -
ScalObject-bkq.09.log   | Counting(4)+R | 20    | 1.0 ± 0.0   | 0.2758s    | -
ScalObject-bkq.09.log   | Counting(2)   | 20    | 1.0 ± 0.0   | 0.6793s    | -
ScalObject-bkq.09.log   | Counting(2)+R | 20    | 1.0 ± 0.0   | 0.3655s    | -
ScalObject-bkq.09.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 0.7678s    | -
ScalObject-bkq.09.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.4109s    | -
ScalObject-bkq.09.log   | Symbolic      | 20    | 1.0 ± 0.0   | 0.1401s    | √
ScalObject-bkq.09.log   | Symbolic+R    | 20    | 1.0 ± 0.0   | 0.0751s    | √
ScalObject-bkq.09.log   | Saturate      | 20    | 1.0 ± 0.0   | 0.0057s    | √
ScalObject-bkq.09.log   | Saturate+R    | 20    | 1.0 ± 0.0   | 0.0075s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.10.log   | Enumerate+C   | 20    | 1.6 ± 0.8   | 0.5755s    | -
ScalObject-bkq.10.log   | Counting(4)   | 20    | 1.6 ± 0.8   | 0.641s     | -
ScalObject-bkq.10.log   | Counting(4)+R | 20    | 1.6 ± 0.8   | 0.2433s    | -
ScalObject-bkq.10.log   | Counting(2)   | 20    | 1.6 ± 0.8   | 0.835s     | -
ScalObject-bkq.10.log   | Counting(2)+R | 20    | 1.6 ± 0.8   | 0.2381s    | -
ScalObject-bkq.10.log   | Counting(0)   | 20    | 1.6 ± 0.8   | 1.2278s    | -
ScalObject-bkq.10.log   | Counting(0)+R | 20    | 1.6 ± 0.8   | 0.2583s    | -
ScalObject-bkq.10.log   | Symbolic      | 20    | 1.6 ± 0.8   | 0.4038s    | -
ScalObject-bkq.10.log   | Symbolic+R    | 20    | 1.6 ± 0.8   | 0.0899s    | -
ScalObject-bkq.10.log   | Saturate      | 20    | 1.6 ± 0.8   | 0.0048s    | -
ScalObject-bkq.10.log   | Saturate+R    | 20    | 1.6 ± 0.8   | 0.0054s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.11.log   | Enumerate+C   | 20    | 1.4 ± 0.5   | 1.0651s    | -
ScalObject-bkq.11.log   | Counting(4)   | 20    | 1.4 ± 0.5   | 0.7024s    | -
ScalObject-bkq.11.log   | Counting(4)+R | 20    | 1.4 ± 0.5   | 0.2445s    | -
ScalObject-bkq.11.log   | Counting(2)   | 20    | 1.4 ± 0.5   | 0.9584s    | -
ScalObject-bkq.11.log   | Counting(2)+R | 20    | 1.4 ± 0.5   | 0.2531s    | -
ScalObject-bkq.11.log   | Counting(0)   | 20    | 1.4 ± 0.5   | 1.1265s    | -
ScalObject-bkq.11.log   | Counting(0)+R | 20    | 1.4 ± 0.5   | 0.3185s    | -
ScalObject-bkq.11.log   | Symbolic      | 20    | 1.4 ± 0.5   | 0.3457s    | -
ScalObject-bkq.11.log   | Symbolic+R    | 20    | 1.4 ± 0.5   | 0.082s     | -
ScalObject-bkq.11.log   | Saturate      | 20    | 1.4 ± 0.5   | 0.0046s    | -
ScalObject-bkq.11.log   | Saturate+R    | 20    | 1.4 ± 0.5   | 0.0042s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.12.log   | Enumerate+C   | 20    | 1.5 ± 0.5   | 0.7022s    | -
ScalObject-bkq.12.log   | Counting(4)   | 20    | 1.5 ± 0.5   | 0.7411s    | -
ScalObject-bkq.12.log   | Counting(4)+R | 20    | 1.5 ± 0.5   | 0.2695s    | -
ScalObject-bkq.12.log   | Counting(2)   | 20    | 1.5 ± 0.5   | 0.9558s    | -
ScalObject-bkq.12.log   | Counting(2)+R | 20    | 1.5 ± 0.5   | 0.2893s    | -
ScalObject-bkq.12.log   | Counting(0)   | 20    | 1.5 ± 0.5   | 1.0441s    | -
ScalObject-bkq.12.log   | Counting(0)+R | 20    | 1.5 ± 0.5   | 0.3103s    | -
ScalObject-bkq.12.log   | Symbolic      | 20    | 1.5 ± 0.5   | 0.3128s    | -
ScalObject-bkq.12.log   | Symbolic+R    | 20    | 1.5 ± 0.5   | 0.1162s    | -
ScalObject-bkq.12.log   | Saturate      | 20    | 1.5 ± 0.5   | 0.0055s    | -
ScalObject-bkq.12.log   | Saturate+R    | 20    | 1.5 ± 0.5   | 0.0053s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.13.log   | Enumerate+C   | 13    | 1.3 ± 0.5   | 0.1843s    | √
ScalObject-bkq.13.log   | Counting(4)   | 13    | 1.3 ± 0.5   | 0.132s     | √
ScalObject-bkq.13.log   | Counting(4)+R | 13    | 1.3 ± 0.5   | 0.1025s    | √
ScalObject-bkq.13.log   | Counting(2)   | 13    | 1.3 ± 0.5   | 0.152s     | √
ScalObject-bkq.13.log   | Counting(2)+R | 13    | 1.3 ± 0.5   | 0.0951s    | √
ScalObject-bkq.13.log   | Counting(0)   | 20    | 1.3 ± 0.5   | 1.1463s    | -
ScalObject-bkq.13.log   | Counting(0)+R | 20    | 1.3 ± 0.5   | 0.2807s    | -
ScalObject-bkq.13.log   | Symbolic      | 13    | 1.3 ± 0.5   | 0.0488s    | √
ScalObject-bkq.13.log   | Symbolic+R    | 13    | 1.3 ± 0.5   | 0.0224s    | √
ScalObject-bkq.13.log   | Saturate      | 13    | 1.3 ± 0.5   | 0.0035s    | √
ScalObject-bkq.13.log   | Saturate+R    | 13    | 1.3 ± 0.5   | 0.0042s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.14.log   | Enumerate+C   | 20    | 1.5 ± 0.5   | 0.9252s    | -
ScalObject-bkq.14.log   | Counting(4)   | 20    | 1.5 ± 0.5   | 0.8285s    | -
ScalObject-bkq.14.log   | Counting(4)+R | 20    | 1.5 ± 0.5   | 0.2843s    | -
ScalObject-bkq.14.log   | Counting(2)   | 20    | 1.5 ± 0.5   | 1.1279s    | -
ScalObject-bkq.14.log   | Counting(2)+R | 20    | 1.5 ± 0.5   | 0.3299s    | -
ScalObject-bkq.14.log   | Counting(0)   | 20    | 1.5 ± 0.5   | 1.2229s    | -
ScalObject-bkq.14.log   | Counting(0)+R | 20    | 1.5 ± 0.5   | 0.3798s    | -
ScalObject-bkq.14.log   | Symbolic      | 20    | 1.5 ± 0.5   | 0.3946s    | -
ScalObject-bkq.14.log   | Symbolic+R    | 20    | 1.5 ± 0.5   | 0.1404s    | -
ScalObject-bkq.14.log   | Saturate      | 20    | 1.5 ± 0.5   | 0.0041s    | -
ScalObject-bkq.14.log   | Saturate+R    | 20    | 1.5 ± 0.5   | 0.0046s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.15.log   | Enumerate+C   | 20    | 2.0 ± 0.9   | 1.3325s    | -
ScalObject-bkq.15.log   | Counting(4)   | 20    | 2.0 ± 0.9   | 1.0448s    | -
ScalObject-bkq.15.log   | Counting(4)+R | 20    | 2.0 ± 0.9   | 0.4042s    | -
ScalObject-bkq.15.log   | Counting(2)   | 20    | 2.0 ± 0.9   | 0.9755s    | -
ScalObject-bkq.15.log   | Counting(2)+R | 20    | 2.0 ± 0.9   | 0.4137s    | -
ScalObject-bkq.15.log   | Counting(0)   | 20    | 2.0 ± 0.9   | 1.2918s    | -
ScalObject-bkq.15.log   | Counting(0)+R | 20    | 2.0 ± 0.9   | 0.5018s    | -
ScalObject-bkq.15.log   | Symbolic      | 20    | 2.0 ± 0.9   | 0.5293s    | -
ScalObject-bkq.15.log   | Symbolic+R    | 20    | 2.0 ± 0.9   | 0.2247s    | -
ScalObject-bkq.15.log   | Saturate      | 20    | 2.0 ± 0.9   | 0.0048s    | -
ScalObject-bkq.15.log   | Saturate+R    | 20    | 2.0 ± 0.9   | 0.0046s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.16.log   | Enumerate+C   | 20    | 1.3 ± 0.5   | 0.5595s    | -
ScalObject-bkq.16.log   | Counting(4)   | 20    | 1.3 ± 0.5   | 0.6642s    | -
ScalObject-bkq.16.log   | Counting(4)+R | 20    | 1.3 ± 0.5   | 0.2346s    | -
ScalObject-bkq.16.log   | Counting(2)   | 20    | 1.3 ± 0.5   | 0.9337s    | -
ScalObject-bkq.16.log   | Counting(2)+R | 20    | 1.3 ± 0.5   | 0.2464s    | -
ScalObject-bkq.16.log   | Counting(0)   | 20    | 1.3 ± 0.5   | 1.1285s    | -
ScalObject-bkq.16.log   | Counting(0)+R | 20    | 1.3 ± 0.5   | 0.2798s    | -
ScalObject-bkq.16.log   | Symbolic      | 20    | 1.3 ± 0.5   | 0.3714s    | -
ScalObject-bkq.16.log   | Symbolic+R    | 20    | 1.3 ± 0.5   | 0.0766s    | -
ScalObject-bkq.16.log   | Saturate      | 20    | 1.3 ± 0.5   | 0.0042s    | -
ScalObject-bkq.16.log   | Saturate+R    | 20    | 1.3 ± 0.5   | 0.0053s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.17.log   | Enumerate+C   | 6     | 1.0 ± 0.0   | 0.0464s    | √
ScalObject-bkq.17.log   | Counting(4)   | 6     | 1.0 ± 0.0   | 0.0457s    | √
ScalObject-bkq.17.log   | Counting(4)+R | 6     | 1.0 ± 0.0   | 0.0449s    | √
ScalObject-bkq.17.log   | Counting(2)   | 6     | 1.0 ± 0.0   | 0.0447s    | √
ScalObject-bkq.17.log   | Counting(2)+R | 6     | 1.0 ± 0.0   | 0.0506s    | √
ScalObject-bkq.17.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 1.1806s    | -
ScalObject-bkq.17.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.2269s    | -
ScalObject-bkq.17.log   | Symbolic      | 6     | 1.0 ± 0.0   | 0.0115s    | √
ScalObject-bkq.17.log   | Symbolic+R    | 6     | 1.0 ± 0.0   | 0.0111s    | √
ScalObject-bkq.17.log   | Saturate      | 6     | 1.0 ± 0.0   | 0.0033s    | √
ScalObject-bkq.17.log   | Saturate+R    | 6     | 1.0 ± 0.0   | 0.0031s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.18.log   | Enumerate+C   | 20    | 1.1 ± 0.3   | 0.3149s    | -
ScalObject-bkq.18.log   | Counting(4)   | 20    | 1.1 ± 0.3   | 0.5724s    | -
ScalObject-bkq.18.log   | Counting(4)+R | 20    | 1.1 ± 0.3   | 0.1932s    | -
ScalObject-bkq.18.log   | Counting(2)   | 20    | 1.1 ± 0.3   | 0.9709s    | -
ScalObject-bkq.18.log   | Counting(2)+R | 20    | 1.1 ± 0.3   | 0.2093s    | -
ScalObject-bkq.18.log   | Counting(0)   | 20    | 1.1 ± 0.3   | 1.0046s    | -
ScalObject-bkq.18.log   | Counting(0)+R | 20    | 1.1 ± 0.3   | 0.2376s    | -
ScalObject-bkq.18.log   | Symbolic      | 20    | 1.1 ± 0.3   | 0.196s     | -
ScalObject-bkq.18.log   | Symbolic+R    | 20    | 1.1 ± 0.3   | 0.0579s    | -
ScalObject-bkq.18.log   | Saturate      | 20    | 1.1 ± 0.3   | 0.0056s    | -
ScalObject-bkq.18.log   | Saturate+R    | 20    | 1.1 ± 0.3   | 0.0048s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.19.log   | Enumerate+C   | 20    | 1.0 ± 0.0   | 0.3377s    | -
ScalObject-bkq.19.log   | Counting(4)   | 20    | 1.0 ± 0.0   | 0.6264s    | -
ScalObject-bkq.19.log   | Counting(4)+R | 20    | 1.0 ± 0.0   | 0.1523s    | -
ScalObject-bkq.19.log   | Counting(2)   | 20    | 1.0 ± 0.0   | 0.6915s    | -
ScalObject-bkq.19.log   | Counting(2)+R | 20    | 1.0 ± 0.0   | 0.1541s    | -
ScalObject-bkq.19.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 1.0982s    | -
ScalObject-bkq.19.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.1592s    | -
ScalObject-bkq.19.log   | Symbolic      | 20    | 1.0 ± 0.0   | 0.1846s    | -
ScalObject-bkq.19.log   | Symbolic+R    | 20    | 1.0 ± 0.0   | 0.0219s    | -
ScalObject-bkq.19.log   | Saturate      | 20    | 1.0 ± 0.0   | 0.0039s    | -
ScalObject-bkq.19.log   | Saturate+R    | 20    | 1.0 ± 0.0   | 0.0038s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.20.log   | Enumerate+C   | 11    | 1.4 ± 0.5   | 0.1467s    | √
ScalObject-bkq.20.log   | Counting(4)   | 11    | 1.4 ± 0.5   | 0.0954s    | √
ScalObject-bkq.20.log   | Counting(4)+R | 11    | 1.4 ± 0.5   | 0.0879s    | √
ScalObject-bkq.20.log   | Counting(2)   | 11    | 1.4 ± 0.5   | 0.1093s    | √
ScalObject-bkq.20.log   | Counting(2)+R | 11    | 1.4 ± 0.5   | 0.0883s    | √
ScalObject-bkq.20.log   | Counting(0)   | 20    | 1.5 ± 0.5   | 1.1632s    | -
ScalObject-bkq.20.log   | Counting(0)+R | 20    | 1.5 ± 0.5   | 0.3827s    | -
ScalObject-bkq.20.log   | Symbolic      | 11    | 1.4 ± 0.5   | 0.0397s    | √
ScalObject-bkq.20.log   | Symbolic+R    | 11    | 1.4 ± 0.5   | 0.0279s    | √
ScalObject-bkq.20.log   | Saturate      | 11    | 1.4 ± 0.5   | 0.0036s    | √
ScalObject-bkq.20.log   | Saturate+R    | 11    | 1.4 ± 0.5   | 0.0043s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.21.log   | Enumerate+C   | 20*   | 2.2 ± 0.9   | 10.0149s*  | -
ScalObject-bkq.21.log   | Counting(4)   | 20    | 2.2 ± 0.9   | 1.018s     | -
ScalObject-bkq.21.log   | Counting(4)+R | 20    | 2.2 ± 0.9   | 0.6953s    | -
ScalObject-bkq.21.log   | Counting(2)   | 20    | 2.2 ± 0.9   | 1.38s      | -
ScalObject-bkq.21.log   | Counting(2)+R | 20    | 2.2 ± 0.9   | 0.8561s    | -
ScalObject-bkq.21.log   | Counting(0)   | 20    | 2.2 ± 0.9   | 1.8045s    | -
ScalObject-bkq.21.log   | Counting(0)+R | 20    | 2.2 ± 0.9   | 1.0759s    | -
ScalObject-bkq.21.log   | Symbolic      | 20    | 2.2 ± 0.9   | 0.7526s    | -
ScalObject-bkq.21.log   | Symbolic+R    | 20    | 2.2 ± 0.9   | 0.4994s    | -
ScalObject-bkq.21.log   | Saturate      | 20    | 2.2 ± 0.9   | 0.0058s    | -
ScalObject-bkq.21.log   | Saturate+R    | 20    | 2.2 ± 0.9   | 0.0058s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.22.log   | Enumerate+C   | 15    | 1.1 ± 0.4   | 0.2079s    | √
ScalObject-bkq.22.log   | Counting(4)   | 15    | 1.1 ± 0.4   | 0.1618s    | √
ScalObject-bkq.22.log   | Counting(4)+R | 15    | 1.1 ± 0.4   | 0.1177s    | √
ScalObject-bkq.22.log   | Counting(2)   | 20    | 1.3 ± 0.5   | 0.7451s    | -
ScalObject-bkq.22.log   | Counting(2)+R | 20    | 1.3 ± 0.5   | 0.4435s    | -
ScalObject-bkq.22.log   | Counting(0)   | 20    | 1.3 ± 0.5   | 1.3179s    | -
ScalObject-bkq.22.log   | Counting(0)+R | 20    | 1.3 ± 0.5   | 0.5112s    | -
ScalObject-bkq.22.log   | Symbolic      | 15    | 1.1 ± 0.4   | 0.063s     | √
ScalObject-bkq.22.log   | Symbolic+R    | 15    | 1.1 ± 0.4   | 0.0293s    | √
ScalObject-bkq.22.log   | Saturate      | 15    | 1.1 ± 0.4   | 0.004s     | √
ScalObject-bkq.22.log   | Saturate+R    | 15    | 1.1 ± 0.4   | 0.0041s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.23.log   | Enumerate+C   | 20    | 2.5 ± 0.9   | 9.3243s    | -
ScalObject-bkq.23.log   | Counting(4)   | 20    | 2.5 ± 0.9   | 0.7933s    | -
ScalObject-bkq.23.log   | Counting(4)+R | 20    | 2.5 ± 0.9   | 0.5929s    | -
ScalObject-bkq.23.log   | Counting(2)   | 20    | 2.5 ± 0.9   | 1.1851s    | -
ScalObject-bkq.23.log   | Counting(2)+R | 20    | 2.5 ± 0.9   | 0.6682s    | -
ScalObject-bkq.23.log   | Counting(0)   | 20    | 2.5 ± 0.9   | 1.1493s    | -
ScalObject-bkq.23.log   | Counting(0)+R | 20    | 2.5 ± 0.9   | 0.7592s    | -
ScalObject-bkq.23.log   | Symbolic      | 20    | 2.5 ± 0.9   | 0.4889s    | -
ScalObject-bkq.23.log   | Symbolic+R    | 20    | 2.5 ± 0.9   | 0.3249s    | -
ScalObject-bkq.23.log   | Saturate      | 20    | 2.5 ± 0.9   | 0.0072s    | -
ScalObject-bkq.23.log   | Saturate+R    | 20    | 2.5 ± 0.9   | 0.0067s    | -
