# data/reports/report-Feb-12-2015-17h03.txt
Generating reports for data/histories/generated/small/**/*.log
------------------------------------------------------------------------------
            data/histories/generated/small/**/*.log (timeout 10s)             
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.05.log   | Counting(2)   | 20    | 1.5 ± 0.5   | 0.822s     | -
ScalObject-bkq.05.log   | Counting(2)+R | 20    | 1.5 ± 0.5   | 0.4114s    | -
ScalObject-bkq.05.log   | Counting(0)   | 20    | 1.5 ± 0.5   | 1.367s     | -
ScalObject-bkq.05.log   | Counting(0)+R | 20    | 1.5 ± 0.5   | 0.4584s    | -
ScalObject-bkq.05.log   | Symbolic      | 15    | 1.4 ± 0.5   | 0.0896s    | √
ScalObject-bkq.05.log   | Symbolic+R    | 15    | 1.4 ± 0.5   | 0.0391s    | √
ScalObject-bkq.05.log   | Saturate      | 15    | 1.4 ± 0.5   | 0.0049s    | √
ScalObject-bkq.05.log   | Saturate+R    | 15    | 1.4 ± 0.5   | 0.0047s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.06.log   | Enumerate+C   | 18    | 1.0 ± 0.0   | 0.2551s    | √
ScalObject-bkq.06.log   | Counting(4)   | 18    | 1.0 ± 0.0   | 0.3462s    | √
ScalObject-bkq.06.log   | Counting(4)+R | 18    | 1.0 ± 0.0   | 0.1485s    | √
ScalObject-bkq.06.log   | Counting(2)   | 18    | 1.0 ± 0.0   | 0.4747s    | √
ScalObject-bkq.06.log   | Counting(2)+R | 18    | 1.0 ± 0.0   | 0.1492s    | √
ScalObject-bkq.06.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 1.0261s    | -
ScalObject-bkq.06.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.1749s    | -
ScalObject-bkq.06.log   | Symbolic      | 18    | 1.0 ± 0.0   | 0.1229s    | √
ScalObject-bkq.06.log   | Symbolic+R    | 18    | 1.0 ± 0.0   | 0.0243s    | √
ScalObject-bkq.06.log   | Saturate      | 18    | 1.0 ± 0.0   | 0.0046s    | √
