history	object	algorithm	steps	concurrency	time	violation
ScalObject-bkq.05.log	atomic-queue	Counting(4)	15	1.4 ± 0.5	0.1907s	true
ScalObject-bkq.05.log	atomic-queue	Counting(4)+R	15	1.4 ± 0.5	0.1289s	true
ScalObject-bkq.05.log	atomic-queue	Counting(2)	20	1.5 ± 0.5	0.788s	false
ScalObject-bkq.05.log	atomic-queue	Counting(2)+R	20	1.5 ± 0.5	0.3963s	false
ScalObject-bkq.05.log	atomic-queue	Counting(0)	20	1.5 ± 0.5	1.332s	false
ScalObject-bkq.05.log	atomic-queue	Counting(0)+R	20	1.5 ± 0.5	0.4458s	false
ScalObject-bkq.05.log	atomic-queue	Symbolic	15	1.4 ± 0.5	0.0839s	true
ScalObject-bkq.05.log	atomic-queue	Symbolic+R	15	1.4 ± 0.5	0.04s	true
ScalObject-bkq.05.log	atomic-queue	Saturate	15	1.4 ± 0.5	0.0042s	true
ScalObject-bkq.05.log	atomic-queue	Saturate+R	15	1.4 ± 0.5	0.005s	true
ScalObject-bkq.06.log	atomic-queue	Enumerate+C	18	1.0 ± 0.0	0.2618s	true
ScalObject-bkq.06.log	atomic-queue	Counting(4)	18	1.0 ± 0.0	0.3406s	true
ScalObject-bkq.06.log	atomic-queue	Counting(4)+R	18	1.0 ± 0.0	0.1361s	true
ScalObject-bkq.06.log	atomic-queue	Counting(2)	18	1.0 ± 0.0	0.4676s	true
ScalObject-bkq.06.log	atomic-queue	Counting(2)+R	18	1.0 ± 0.0	0.1367s	true
ScalObject-bkq.06.log	atomic-queue	Counting(0)	20	1.0 ± 0.0	1.0061s	false
ScalObject-bkq.06.log	atomic-queue	Counting(0)+R	20	1.0 ± 0.0	0.1704s	false
ScalObject-bkq.06.log	atomic-queue	Symbolic	18	1.0 ± 0.0	0.1198s	true
ScalObject-bkq.06.log	atomic-queue	Symbolic+R	18	1.0 ± 0.0	0.0245s	true
ScalObject-bkq.06.log	atomic-queue	Saturate	18	1.0 ± 0.0	0.0038s	true
ScalObject-bkq.06.log	atomic-queue	Saturate+R	18	1.0 ± 0.0	0.0045s	true
ScalObject-bkq.07.log	atomic-queue	Enumerate+C	18	1.8 ± 1.0	8.3551s	true
ScalObject-bkq.07.log	atomic-queue	Counting(4)	18	1.8 ± 1.0	0.3484s	true
ScalObject-bkq.07.log	atomic-queue	Counting(4)+R	18	1.8 ± 1.0	0.2335s	true
ScalObject-bkq.07.log	atomic-queue	Counting(2)	20	1.8 ± 1.0	1.0758s	false
ScalObject-bkq.07.log	atomic-queue	Counting(2)+R	20	1.8 ± 1.0	0.73s	false
ScalObject-bkq.07.log	atomic-queue	Counting(0)	20	1.8 ± 1.0	1.2916s	false
ScalObject-bkq.07.log	atomic-queue	Counting(0)+R	20	1.8 ± 1.0	0.8388s	false
ScalObject-bkq.07.log	atomic-queue	Symbolic	18	1.8 ± 1.0	0.2135s	true
ScalObject-bkq.07.log	atomic-queue	Symbolic+R	18	1.8 ± 1.0	0.1165s	true
ScalObject-bkq.07.log	atomic-queue	Saturate	19	1.8 ± 1.0	0.0062s	true
ScalObject-bkq.07.log	atomic-queue	Saturate+R	19	1.8 ± 1.0	0.0053s	true
ScalObject-bkq.08.log	atomic-queue	Enumerate+C	20	1.1 ± 0.3	0.3238s	true
ScalObject-bkq.08.log	atomic-queue	Counting(4)	20	1.1 ± 0.3	0.4637s	true
ScalObject-bkq.08.log	atomic-queue	Counting(4)+R	20	1.1 ± 0.3	0.1645s	true
ScalObject-bkq.08.log	atomic-queue	Counting(2)	20	1.1 ± 0.3	0.6484s	true
ScalObject-bkq.08.log	atomic-queue	Counting(2)+R	20	1.1 ± 0.3	0.1567s	true
ScalObject-bkq.08.log	atomic-queue	Counting(0)	20	1.1 ± 0.3	1.1571s	false
ScalObject-bkq.08.log	atomic-queue	Counting(0)+R	20	1.1 ± 0.3	0.1895s	false
ScalObject-bkq.08.log	atomic-queue	Symbolic	20	1.1 ± 0.3	0.1654s	true
ScalObject-bkq.08.log	atomic-queue	Symbolic+R	20	1.1 ± 0.3	0.0317s	true
ScalObject-bkq.08.log	atomic-queue	Saturate	20	1.1 ± 0.3	0.0042s	true
ScalObject-bkq.08.log	atomic-queue	Saturate+R	20	1.1 ± 0.3	0.0043s	true
ScalObject-bkq.09.log	atomic-queue	Enumerate+C	20	1.0 ± 0.0	0.2843s	true
ScalObject-bkq.09.log	atomic-queue	Counting(4)	20	1.0 ± 0.0	0.5283s	false
ScalObject-bkq.09.log	atomic-queue	Counting(4)+R	20	1.0 ± 0.0	0.2758s	false
ScalObject-bkq.09.log	atomic-queue	Counting(2)	20	1.0 ± 0.0	0.6793s	false
ScalObject-bkq.09.log	atomic-queue	Counting(2)+R	20	1.0 ± 0.0	0.3655s	false
ScalObject-bkq.09.log	atomic-queue	Counting(0)	20	1.0 ± 0.0	0.7678s	false
ScalObject-bkq.09.log	atomic-queue	Counting(0)+R	20	1.0 ± 0.0	0.4109s	false
ScalObject-bkq.09.log	atomic-queue	Symbolic	20	1.0 ± 0.0	0.1401s	true
ScalObject-bkq.09.log	atomic-queue	Symbolic+R	20	1.0 ± 0.0	0.0751s	true
ScalObject-bkq.09.log	atomic-queue	Saturate	20	1.0 ± 0.0	0.0057s	true
ScalObject-bkq.09.log	atomic-queue	Saturate+R	20	1.0 ± 0.0	0.0075s	true
ScalObject-bkq.10.log	atomic-queue	Enumerate+C	20	1.6 ± 0.8	0.5755s	false
ScalObject-bkq.10.log	atomic-queue	Counting(4)	20	1.6 ± 0.8	0.641s	false
ScalObject-bkq.10.log	atomic-queue	Counting(4)+R	20	1.6 ± 0.8	0.2433s	false
ScalObject-bkq.10.log	atomic-queue	Counting(2)	20	1.6 ± 0.8	0.835s	false
ScalObject-bkq.10.log	atomic-queue	Counting(2)+R	20	1.6 ± 0.8	0.2381s	false
ScalObject-bkq.10.log	atomic-queue	Counting(0)	20	1.6 ± 0.8	1.2278s	false
ScalObject-bkq.10.log	atomic-queue	Counting(0)+R	20	1.6 ± 0.8	0.2583s	false
ScalObject-bkq.10.log	atomic-queue	Symbolic	20	1.6 ± 0.8	0.4038s	false
ScalObject-bkq.10.log	atomic-queue	Symbolic+R	20	1.6 ± 0.8	0.0899s	false
ScalObject-bkq.10.log	atomic-queue	Saturate	20	1.6 ± 0.8	0.0048s	false
ScalObject-bkq.10.log	atomic-queue	Saturate+R	20	1.6 ± 0.8	0.0054s	false
ScalObject-bkq.11.log	atomic-queue	Enumerate+C	20	1.4 ± 0.5	1.0651s	false
ScalObject-bkq.11.log	atomic-queue	Counting(4)	20	1.4 ± 0.5	0.7024s	false
ScalObject-bkq.11.log	atomic-queue	Counting(4)+R	20	1.4 ± 0.5	0.2445s	false
ScalObject-bkq.11.log	atomic-queue	Counting(2)	20	1.4 ± 0.5	0.9584s	false
ScalObject-bkq.11.log	atomic-queue	Counting(2)+R	20	1.4 ± 0.5	0.2531s	false
