history	object	algorithm	removal	violation	timeout	stepout	steps	checks	size.min	size.max	size.mean	size.sigma	width.min	width.max	width.mean	width.sigma	weight.min	weight.max	weight.mean	weight.sigma	memory	time
ScalObject-msq.0.log	atomic-queue	Bound(4)	false	false	true	false	58	27	0	31	15.948275862068966	8.672243307976345	1	5	3.9310344827586206	1.0236170639096054	0	23	12.913793103448276	6.153830593539822	12652	107.324446
ScalObject-msq.0.log	atomic-queue	Bound(4)	true	false	true	false	177	87	0	23	12.310734463276836	4.631849721640626	1	5	3.457627118644068	0.865802975270746	0	17	9.870056497175142	3.4294938165418882	12928	100.574723
ScalObject-msq.0.log	atomic-queue	Symbolic	false	false	true	false	70	34	0	36	18.84285714285714	10.187568033788255	1	5	3.7	1.1209468047728377	0	26	14.628571428571428	6.799768599156179	16128	109.619811
ScalObject-msq.0.log	atomic-queue	Symbolic	true	false	true	false	412	205	0	28	12.29126213592233	5.33615691916109	1	5	3.0800970873786406	0.9645250159359225	0	17	9.483009708737864	3.469323706143276	15700	101.511427
ScalObject-msq.0.log	atomic-queue	Saturate	false	false	true	false	924	460	0	463	232.0681818181818	133.43872971445182	1	5	3.1374458874458875	0.9525835158128865	0	261	131.21320346320346	74.28906820184748	11816	100.011321
ScalObject-msq.0.log	atomic-queue	Saturate	true	false	true	false	8174	4086	0	160	36.38952777098116	23.20183055484982	1	5	3.0288720332762415	0.9739784717319779	0	96	31.77195987276731	18.823277816057136	12528	100.014402
ScalObject-msq.1.log	atomic-queue	Enumerate	false	false	true	false	31	14	0	17	8.96774193548387	4.915851034953099	1	5	3.4838709677419355	1.3132902127084087	0	14	7.612903225806452	3.774276260466711	12840	100.02301
ScalObject-msq.1.log	atomic-queue	Bound(4)	false	false	true	false	50	23	0	27	13.98	7.80761010234272	1	6	4.0	1.5118578920369088	0	21	10.96	5.532685807534887	13040	145.498863
ScalObject-msq.1.log	atomic-queue	Bound(4)	true	false	true	false	321	159	0	25	10.651090342679128	4.4815322848259935	1	6	3.6510903426791277	1.085302547650975	0	21	9.299065420560748	4.064053441310998	12968	103.299007
ScalObject-msq.1.log	atomic-queue	Symbolic	false	false	true	false	62	30	0	32	16.967741935483872	9.352772433594547	1	6	3.9516129032258065	1.3958653154395562	0	23	12.919354838709678	6.405167962366306	15956	107.710178
ScalObject-msq.1.log	atomic-queue	Symbolic	true	false	true	false	402	200	0	25	12.77363184079602	5.95293269947427	1	6	3.6243781094527363	1.001596100953271	0	24	11.492537313432836	5.8027591708482635	16368	100.01549
ScalObject-msq.1.log	atomic-queue	Saturate	false	false	true	false	773	384	0	388	194.54721862871926	111.62813872673827	1	6	3.596377749029754	1.0394235758699144	0	212	109.97671410090557	60.462183411349216	12460	100.012151
ScalObject-msq.1.log	atomic-queue	Saturate	true	false	true	false	4743	2369	0	226	44.03731815306768	37.21363992907374	1	6	3.6010963525195026	1.0286156973524552	0	140	37.3516761543327	24.22361471680563	12016	100.008969
ScalObject-msq.2.log	atomic-queue	Enumerate	false	false	true	false	32	15	0	17	9.15625	5.199934087671596	1	6	3.34375	1.6773515029701225	0	13	7.125	3.773848895209103	12660	100.01418
ScalObject-msq.2.log	atomic-queue	Bound(4)	false	false	true	false	58	27	0	31	15.568965517241379	8.604592957467679	1	6	3.1724137931034484	1.5462226869701365	0	23	11.827586206896552	6.221462374023117	13284	122.311576
ScalObject-msq.2.log	atomic-queue	Bound(4)	true	false	true	false	218	108	0	27	10.321100917431192	5.422908794754007	1	6	3.5275229357798166	1.1646380786794792	0	20	8.582568807339449	4.153180870509977	13348	120.447615
ScalObject-msq.2.log	atomic-queue	Symbolic	false	false	true	false	70	33	0	37	18.6	10.332725554823586	1	6	3.2285714285714286	1.5052702446128305	0	27	13.857142857142858	7.249759045042816	16076	117.065843
ScalObject-msq.2.log	atomic-queue	Symbolic	true	false	true	false	240	119	0	38	12.354166666666666	8.292986357978185	1	6	3.4791666666666665	1.1201760047998843	0	27	9.9	5.765864053593254	16256	108.039531
ScalObject-msq.2.log	atomic-queue	Saturate	false	false	true	false	886	441	0	444	222.62528216704288	127.8334527081086	1	6	3.2516930022573365	1.2445916719710426	0	251	127.90857787810384	70.56988037918407	12460	100.014608
ScalObject-msq.2.log	atomic-queue	Saturate	true	false	true	false	4204	2099	0	362	59.230256898192195	74.78892355292784	1	6	3.5337773549000953	1.2069080659316118	0	185	38.24310180780209	38.28567483953659	12156	100.011293
